第:535回合,loss:51.255238
第:536回合,loss:51.544804
第:537回合,loss:51.382812
第:538回合,loss:51.336
第:539回合,loss:51.676777
第:540回合,loss:51.56577
第:541回合,loss:51.24844
第:542回合,loss:51.10888
第:543回合,loss:51.127224
第:544回合,loss:51.14066
第:545回合,loss:51.204163
第:546回合,loss:51.20278
第:547回合,loss:51.382904
第:548回合,loss:51.13371
第:549回合,loss:51.122784
第:550回合,loss:51.15283
第:551回合,loss:51.3674
第:552回合,loss:51.12501
第:553回合,loss:51.097248
第:554回合,loss:51.200184
第:555回合,loss:51.250862
第:556回合,loss:51.43631
第:557回合,loss:51.294685
第:558回合,loss:51.39343
第:559回合,loss:51.07007
第:560回合,loss:51.191936
第:561回合,loss:51.132454
第:562回合,loss:51.337696
第:563回合,loss:51.0389
第:564回合,loss:51.05993
第:565回合,loss:51.07355
第:566回合,loss:51.268864
第:567回合,loss:51.07419
第:568回合,loss:51.104927
第:569回合,loss:51.258553
第:570回合,loss:51.26731
第:571回合,loss:51.339104
第:572回合,loss:51.18205
第:573回合,loss:51.060745
第:574回合,loss:51.32633
第:575回合,loss:50.981705
第:576回合,loss:50.966423
第:577回合,loss:50.95887
第:578回合,loss:50.99626
第:579回合,loss:51.04294
第:580回合,loss:51.205685
第:581回合,loss:51.77725
第:582回合,loss:51.777378
第:583回合,loss:51.23243
第:584回合,loss:51.077263
第:585回合,loss:50.934177
第:586回合,loss:50.944855
第:587回合,loss:50.934055
第:588回合,loss:50.976658
第:589回合,loss:51.110645
第:590回合,loss:51.350937
第:591回合,loss:51.484806
第:592回合,loss:51.344044
第:593回合,loss:50.930744
第:594回合,loss:50.95847
第:595回合,loss:50.910976
第:596回合,loss:51.113075
第:597回合,loss:50.99645
第:598回合,loss:51.185368
第:599回合,loss:51.24994
第:600回合,loss:51.142387
第:601回合,loss:51.039192
第:602回合,loss:50.898827
第:603回合,loss:51.123943
第:604回合,loss:50.83973
第:605回合,loss:50.876816
第:606回合,loss:50.904743
第:607回合,loss:51.2404
第:608回合,loss:51.298073
第:609回合,loss:50.976192
第:610回合,loss:50.800976
第:611回合,loss:50.779995
第:612回合,loss:50.874065
第:613回合,loss:50.813812
第:614回合,loss:51.002274
第:615回合,loss:51.10788
第:616回合,loss:51.163303
第:617回合,loss:51.002205
第:618回合,loss:50.85555
第:619回合,loss:50.75921
第:620回合,loss:50.867
第:621回合,loss:50.750175
第:622回合,loss:50.89436
第:623回合,loss:50.80343
第:624回合,loss:51.078747
第:625回合,loss:51.211723
第:626回合,loss:51.160206
第:627回合,loss:51.115204
第:628回合,loss:50.781593
第:629回合,loss:50.77915
第:630回合,loss:50.714367
第:631回合,loss:50.71545
第:632回合,loss:50.9836
第:633回合,loss:51.164288
第:634回合,loss:50.98678
